Name of a student,,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,deaths in orphanages,deaths in orphanages,newcomers,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,,,,,,,,,,,,
Moscow,provincial city,1890,March,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,коклюш,whooping-cough,yes,6,8,14,0,0,0,3,4,6,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,сифилис,syphilis,,2,4,6,1,3,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,рожа,wildfire,,14,6,20,4,0,1,5,0,0,0,1,0,2,5,2,2,3,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1890,March,крупозная пневмония,pulmonic fever,yes,38,29,67,,,5,,2,4,1,1,1,9,11,12,9,9,6,,2,,,,,,,,,,,,,
Moscow,provincial city,1890,March,болезнь органов дыхания,respiratory disease,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,чахотка легких,pulmonary tuberculosis,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,желудочно-кишечный катар,gastro-intestinal infection,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,несчастный случай,accidents,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,самоубийство,suicide,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,убийство,murder,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,алкоголизм,alcoholism,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,рак,cancer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,March,заболевания нервной системы,diseases of the nervous system,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,сыпной тиф,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,брюшной тиф,enteric fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,возвратная горячка,fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,тиф без означения формы,typhus,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,послеродовая горячка,puerperal fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,перемежающаяся лихорадка,remittent fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,оспа,smallpox,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,скарлатина,scarlet fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,корь,measles,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,кровавый понос,bloody diarrhoea,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,дифтерит,pseudomembranous inflammation,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,круп,croup,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,азиатская холера,Asiatic cholera,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,цереброспин. Менингит,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,коклюш,whooping-cough,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,сифилис,syphilis,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,сибирская язва,Siberian plague / anthrax,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,сап,glanders,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,рожа,wildfire,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,крупозная пневмония,pulmonic fever,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,болезнь органов дыхания,respiratory disease,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,чахотка легких,pulmonary tuberculosis,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,желудочно-кишечный катар,gastro-intestinal infection,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,несчастный случай,accidents,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,самоубийство,suicide,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,убийство,murder,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,алкоголизм,alcoholism,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,рак,cancer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,April,заболевания нервной системы,diseases of the nervous system,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,сыпной тиф,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,брюшной тиф,enteric fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,возвратная горячка,fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,тиф без означения формы,typhus,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,послеродовая горячка,puerperal fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,перемежающаяся лихорадка,remittent fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,оспа,smallpox,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,скарлатина,scarlet fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,корь,measles,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,кровавый понос,bloody diarrhoea,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,дифтерит,pseudomembranous inflammation,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,круп,croup,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,азиатская холера,Asiatic cholera,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,цереброспин. Менингит,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,коклюш,whooping-cough,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,сифилис,syphilis,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,сибирская язва,Siberian plague / anthrax,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,сап,glanders,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,рожа,wildfire,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,крупозная пневмония,pulmonic fever,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,болезнь органов дыхания,respiratory disease,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,чахотка легких,pulmonary tuberculosis,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,желудочно-кишечный катар,gastro-intestinal infection,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,несчастный случай,accidents,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,самоубийство,suicide,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,убийство,murder,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,алкоголизм,alcoholism,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,рак,cancer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,May,заболевания нервной системы,diseases of the nervous system,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,сыпной тиф,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,брюшной тиф,enteric fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,возвратная горячка,fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,тиф без означения формы,typhus,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,послеродовая горячка,puerperal fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,перемежающаяся лихорадка,remittent fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,оспа,smallpox,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,скарлатина,scarlet fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,корь,measles,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,кровавый понос,bloody diarrhoea,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,дифтерит,pseudomembranous inflammation,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,круп,croup,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,азиатская холера,Asiatic cholera,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,цереброспин. Менингит,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,коклюш,whooping-cough,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,сифилис,syphilis,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,сибирская язва,Siberian plague / anthrax,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,сап,glanders,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,рожа,wildfire,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,крупозная пневмония,pulmonic fever,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,болезнь органов дыхания,respiratory disease,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,чахотка легких,pulmonary tuberculosis,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,желудочно-кишечный катар,gastro-intestinal infection,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,несчастный случай,accidents,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,самоубийство,suicide,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,убийство,murder,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,алкоголизм,alcoholism,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,рак,cancer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,June,заболевания нервной системы,diseases of the nervous system,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,сыпной тиф,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,брюшной тиф,enteric fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,возвратная горячка,fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,тиф без означения формы,typhus,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,послеродовая горячка,puerperal fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,перемежающаяся лихорадка,remittent fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,оспа,smallpox,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,скарлатина,scarlet fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,корь,measles,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,кровавый понос,bloody diarrhoea,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,дифтерит,pseudomembranous inflammation,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,круп,croup,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,азиатская холера,Asiatic cholera,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,provincial city,1890,July,цереброспин. Менингит,spotted fever,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
