Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,deaths in orphanages,newcomers,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,,,,,,,,,,,,
Moscow,provincial city,1889,January,несчастный случай,accidents,,5,2,7,0,1,0,0,1,0,0,0,2,2,0,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,самоубийство,suicide,,5,2,7,0,1,0,0,0,0,0,1,4,1,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,убийство,murder,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,алкоголизм,alcoholism,,10,1,11,0,0,0,0,0,0,0,0,2,6,1,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,рак,cancer,,20,36,56,0,3,0,0,0,0,0,0,0,7,10,16,17,5,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,January,заболевания нервной системы,diseases of the nervous system,,85,61,146,3,9,9,6,22,4,4,9,11,14,18,16,19,9,4,1,,,,,,,,,,,,,
Moscow,provincial city,1889,February,сыпной тиф,spotted fever,,15,1,16,0,3,0,0,0,0,1,4,2,5,2,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,брюшной тиф,enteric fever,,13,6,19,0,1,0,0,0,0,1,5,12,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,возвратная горячка,fever,,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,тиф без означения формы,typhus,,6,2,8,0,1,0,0,0,0,0,1,1,0,1,4,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,послеродовая горячка,puerperal fever,,0,16,16,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,перемежающаяся лихорадка,remittent fever,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,оспа,smallpox,,3,1,4,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,скарлатина,scarlet fever,,18,22,40,0,0,2,2,24,10,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,корь,measles,,25,22,47,0,2,3,11,29,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,кровавый понос,bloody diarrhoea,,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,дифтерит,pseudomembranous inflammation,,34,29,63,34,0,34,4,14,7,3,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,круп,croup,yes,2,2,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,цереброспин. Менингит,spotted fever,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,коклюш,whooping-cough,yes,7,10,17,0,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,сифилис,syphilis,,3,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,сибирская язва,Siberian plague / anthrax,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,рожа,wildfire,,9,1,10,0,1,0,0,0,0,0,0,4,2,1,3,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,крупозная пневмония,pulmonic fever,yes,40,24,64,0,2,1,0,7,2,3,1,8,6,7,17,7,4,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,болезнь органов дыхания,respiratory disease,yes,215,198,413,134,3,173,51,114,6,4,2,6,4,10,10,27,5,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,чахотка легких,pulmonary tuberculosis,yes,189,73,262,0,16,0,0,1,2,6,16,78,61,42,44,16,1,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,желудочно-кишечный катар,gastro-intestinal infection,yes,124,104,228,118,1,153,41,29,1,1,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,несчастный случай,accidents,,4,5,9,0,0,0,1,0,0,0,1,0,3,1,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,самоубийство,suicide,,6,2,8,0,1,0,0,0,0,0,1,2,1,1,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,убийство,murder,,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,алкоголизм,alcoholism,,3,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,рак,cancer,,15,27,42,0,6,0,0,0,0,0,0,0,6,11,16,6,2,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,February,заболевания нервной системы,diseases of the nervous system,,79,51,130,2,7,7,6,19,4,1,0,13,16,17,21,17,8,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,сыпной тиф,spotted fever,,5,3,8,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,брюшной тиф,enteric fever,,19,5,24,0,0,0,0,0,1,1,8,9,3,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,возвратная горячка,fever,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,тиф без означения формы,typhus,,3,1,4,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,послеродовая горячка,puerperal fever,,0,6,6,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,оспа,smallpox,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,скарлатина,scarlet fever,,23,17,40,0,0,0,2,17,13,4,1,1,2,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,корь,measles,,22,20,42,0,1,2,15,19,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,кровавый понос,bloody diarrhoea,,2,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,дифтерит,pseudomembranous inflammation,,42,31,73,28,1,28,6,28,6,3,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,круп,croup,yes,1,4,5,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,коклюш,whooping-cough,yes,11,8,19,0,0,4,10,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,сифилис,syphilis,,4,0,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,рожа,wildfire,,9,7,16,5,1,8,0,0,0,0,0,2,0,1,2,1,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,крупозная пневмония,pulmonic fever,yes,51,43,94,0,3,1,3,5,1,1,5,11,9,18,16,18,5,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,болезнь органов дыхания,respiratory disease,yes,244,208,452,129,4,167,82,125,8,3,3,7,2,9,17,17,11,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,чахотка легких,pulmonary tuberculosis,yes,188,99,287,13,0,0,1,7,1,7,12,74,70,51,33,28,2,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,желудочно-кишечный катар,gastro-intestinal infection,yes,160,124,284,152,1,213,38,26,0,0,2,2,1,2,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,несчастный случай,accidents,,10,3,13,0,1,0,0,1,0,1,0,0,1,6,2,1,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,March,самоубийство,suicide,,10,1,11,0,0,0,0,0,0,0,2,4,3,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,убийство,murder,,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,алкоголизм,alcoholism,,7,1,8,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,March,рак,cancer,,23,40,63,0,5,0,0,0,0,0,1,3,6,11,15,20,7,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,March,заболевания нервной системы,diseases of the nervous system,,100,59,159,1,7,6,14,26,8,7,3,7,12,25,28,17,6,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,сыпной тиф,spotted fever,,9,2,11,0,0,0,0,0,0,0,0,4,5,1,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,брюшной тиф,enteric fever,,5,4,9,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,возвратная горячка,fever,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,тиф без означения формы,typhus,,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,послеродовая горячка,puerperal fever,,0,12,12,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,оспа,smallpox,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,скарлатина,scarlet fever,,14,9,23,0,0,0,2,14,5,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,корь,measles,,27,14,41,0,0,2,12,22,2,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,April,кровавый понос,bloody diarrhoea,,7,3,10,3,0,3,0,2,1,0,0,0,1,1,1,0,1,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,дифтерит,pseudomembranous inflammation,,29,28,57,22,0,22,3,15,10,5,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,круп,croup,yes,1,3,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,коклюш,whooping-cough,yes,3,5,8,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,сифилис,syphilis,,3,3,6,2,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,рожа,wildfire,,7,8,15,4,1,6,0,0,0,0,1,2,1,1,2,2,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,крупозная пневмония,pulmonic fever,yes,49,31,80,0,1,0,0,4,0,2,4,10,11,9,21,14,3,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,болезнь органов дыхания,respiratory disease,yes,227,215,442,5,172,224,62,91,5,5,3,8,4,10,10,15,5,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,чахотка легких,pulmonary tuberculosis,yes,96,167,263,15,0,0,0,0,1,3,5,84,58,53,35,18,6,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,желудочно-кишечный катар,gastro-intestinal infection,yes,266,224,490,1,355,424,34,25,0,0,0,2,1,0,0,4,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,несчастный случай,accidents,,11,2,13,0,0,0,0,1,1,1,3,4,1,0,0,0,0,0,2,,,,,,,,,,,,,
Moscow,provincial city,1889,April,самоубийство,suicide,,5,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,убийство,murder,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,алкоголизм,alcoholism,,12,2,14,0,1,0,0,0,0,0,0,2,3,6,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,рак,cancer,,31,26,57,0,4,0,0,0,0,0,0,0,2,11,19,21,2,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,April,заболевания нервной системы,diseases of the nervous system,,72,59,131,3,5,9,8,20,5,2,1,13,13,13,15,19,11,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,сыпной тиф,spotted fever,,6,2,8,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,брюшной тиф,enteric fever,,4,1,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,возвратная горячка,fever,,2,1,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,тиф без означения формы,typhus,,4,6,10,0,2,0,1,1,1,0,1,2,1,2,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,послеродовая горячка,puerperal fever,,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,оспа,smallpox,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,скарлатина,scarlet fever,,8,15,23,0,4,0,1,14,5,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,корь,measles,,29,26,55,0,0,5,12,30,7,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,кровавый понос,bloody diarrhoea,,8,3,11,0,0,0,4,3,0,0,1,0,0,0,3,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,дифтерит,pseudomembranous inflammation,,37,21,58,12,4,12,1,19,18,6,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,круп,croup,yes,2,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,коклюш,whooping-cough,yes,11,8,19,0,0,6,5,7,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,сифилис,syphilis,,2,3,5,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,сибирская язва,Siberian plague / anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,рожа,wildfire,,10,6,16,2,1,2,0,1,0,0,1,4,3,0,0,1,2,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,крупозная пневмония,pulmonic fever,yes,42,23,65,0,6,2,0,2,1,1,5,14,11,11,7,8,3,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,болезнь органов дыхания,respiratory disease,yes,266,225,491,236,6,277,61,91,9,1,0,7,8,7,12,14,4,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,чахотка легких,pulmonary tuberculosis,yes,186,93,279,0,20,0,2,2,0,4,19,67,73,36,48,23,5,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,желудочно-кишечный катар,gastro-intestinal infection,yes,412,339,751,393,0,596,97,50,3,0,0,0,1,2,0,2,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,несчастный случай,accidents,,17,4,21,0,0,0,0,3,1,0,3,4,6,1,0,1,0,0,2,,,,,,,,,,,,,
Moscow,provincial city,1889,May,самоубийство,suicide,,9,0,9,0,0,0,0,0,0,0,1,1,2,3,2,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,убийство,murder,,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,алкоголизм,alcoholism,,7,0,7,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,May,рак,cancer,,23,37,60,0,5,0,0,0,0,0,0,1,9,14,16,13,6,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,May,заболевания нервной системы,diseases of the nervous system,,83,55,138,2,5,9,9,15,5,5,8,10,14,25,17,10,9,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,сыпной тиф,spotted fever,,3,2,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,брюшной тиф,enteric fever,,6,4,10,0,0,0,0,0,0,0,2,1,4,0,3,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,тиф без означения формы,typhus,,5,0,5,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,послеродовая горячка,puerperal fever,,0,6,6,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,оспа,smallpox,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,скарлатина,scarlet fever,,13,12,25,0,0,1,1,14,7,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,корь,measles,,20,18,38,0,2,1,9,25,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,кровавый понос,bloody diarrhoea,,19,15,34,2,2,4,7,10,1,1,0,0,4,2,2,2,0,1,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,дифтерит,pseudomembranous inflammation,,16,15,31,5,2,7,2,15,5,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,круп,croup,yes,3,3,6,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,азиатская холера,Asiatic cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,коклюш,whooping-cough,yes,3,6,9,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,сифилис,syphilis,,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,сибирская язва,Siberian plague / anthrax,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,рожа,wildfire,,19,5,24,7,2,8,0,0,0,0,0,2,5,2,2,3,1,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,June,крупозная пневмония,pulmonic fever,yes,34,14,48,0,3,1,0,2,0,1,4,7,8,9,9,4,2,0,1,,,,,,,,,,,,,
Moscow,provincial city,1889,June,болезнь органов дыхания,respiratory disease,yes,196,158,354,180,3,205,30,59,7,0,1,3,8,9,10,16,4,2,0,,,,,,,,,,,,,
Moscow,provincial city,1889,June,чахотка легких,pulmonary tuberculosis,yes,180,75,255,0,18,1,0,4,0,3,8,65,68,48,29,24,5,0,0,,,,,,,,,,,,,
